127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:09, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2017-05-13 16:17:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.215000
127.0.0.1, 2017-05-13 16:17:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.230000
127.0.0.1, 2017-05-13 16:17:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.286000
127.0.0.1, 2017-05-13 16:17:09, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.436000
127.0.0.1, 2017-05-13 16:17:09, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.505000
127.0.0.1, 2017-05-13 16:17:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.189000
127.0.0.1, 2017-05-13 16:17:09, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:34, GET, /admin/default/edit/welcome/modules/__init__.py, HTTP/1.1, 200, 0.049000
127.0.0.1, 2017-05-13 16:17:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-05-13 16:17:39, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-05-13 16:17:50, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-05-13 16:17:51, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.050000
127.0.0.1, 2017-05-13 16:17:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-05-13 16:18:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-05-13 16:18:11, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.246000
127.0.0.1, 2017-05-13 16:18:42, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2017-05-13 16:18:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.140000
127.0.0.1, 2017-05-13 16:18:54, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.164000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.032000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.010000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 304, 0.017000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 304, 0.018000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 304, 0.013000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 304, 0.014000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 304, 0.000000
